"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +2.27050942647E-009, +0.00000000000E+000
+2.29980000000E+006, +2.27050942647E-009, +0.00000000000E+000
+4.29960000000E+006, +2.45250762058E-007, +0.00000000000E+000
+6.29940000000E+006, -1.90110969655E-007, +0.00000000000E+000
+8.29920000000E+006, -1.74612249762E-007, +0.00000000000E+000
+1.02990000000E+007, -8.89854951234E-008, +0.00000000000E+000
+1.22988000000E+007, +6.20753719783E-008, +0.00000000000E+000
+1.42986000000E+007, -2.32654134932E-007, +0.00000000000E+000
+1.62984000000E+007, +1.11319326077E-008, +0.00000000000E+000
+1.82982000000E+007, +1.57661623898E-007, +0.00000000000E+000
+2.02980000000E+007, +2.07173244807E-007, +0.00000000000E+000
+2.22978000000E+007, -1.79841609858E-007, +0.00000000000E+000
+2.42976000000E+007, +6.38516407035E-008, +0.00000000000E+000
+2.62974000000E+007, -2.07427292687E-007, +0.00000000000E+000
+2.82972000000E+007, -1.29122067527E-008, +0.00000000000E+000
+3.02970000000E+007, -1.23782334317E-007, +0.00000000000E+000
+3.22968000000E+007, +1.14589890969E-007, +0.00000000000E+000
+3.42966000000E+007, -2.25522668283E-007, +0.00000000000E+000
+3.62964000000E+007, +7.08821350270E-008, +0.00000000000E+000
+3.82962000000E+007, -1.12933643602E-007, +0.00000000000E+000
+4.02960000000E+007, -1.43872490200E-007, +0.00000000000E+000
+4.22958000000E+007, +1.60776509036E-007, +0.00000000000E+000
+4.42956000000E+007, -2.11124259509E-007, +0.00000000000E+000
+4.62954000000E+007, +2.88409585974E-008, +0.00000000000E+000
+4.82952000000E+007, -1.38714262851E-007, +0.00000000000E+000
+5.02950000000E+007, -1.50178508156E-007, +0.00000000000E+000
+5.22948000000E+007, +1.89894514311E-007, +0.00000000000E+000
+5.42946000000E+007, -8.56997456433E-008, +0.00000000000E+000
+5.62944000000E+007, +1.49180113091E-007, +0.00000000000E+000
+5.82942000000E+007, -2.21587988034E-007, +0.00000000000E+000
+6.02940000000E+007, +2.17064770640E-007, +0.00000000000E+000
+6.22938000000E+007, +1.59374003056E-007, +0.00000000000E+000
+6.42936000000E+007, -1.86545728062E-008, +0.00000000000E+000
+6.62934000000E+007, +1.45847225211E-007, +0.00000000000E+000
+6.82932000000E+007, -1.18767259751E-007, +0.00000000000E+000
+7.02930000000E+007, +1.22513926732E-007, +0.00000000000E+000
+7.22928000000E+007, +1.17789611611E-007, +0.00000000000E+000
+7.42926000000E+007, -2.36653107708E-007, +0.00000000000E+000
+7.62924000000E+007, -4.20890856741E-008, +0.00000000000E+000
+7.82922000000E+007, +1.85598376487E-007, +0.00000000000E+000
+8.02920000000E+007, -3.84756291402E-008, +0.00000000000E+000
+8.22918000000E+007, +1.55768549418E-007, +0.00000000000E+000
+8.42916000000E+007, -1.11804230451E-007, +0.00000000000E+000
+8.62914000000E+007, -3.71060960882E-008, +0.00000000000E+000
+8.82912000000E+007, -2.99398356277E-008, +0.00000000000E+000
+9.02910000000E+007, +1.20819164659E-007, +0.00000000000E+000
+9.22908000000E+007, -6.98423745323E-008, +0.00000000000E+000
+9.42906000000E+007, +1.21253248064E-008, +0.00000000000E+000
+9.62904000000E+007, -1.02550624716E-007, +0.00000000000E+000
+9.82902000000E+007, +2.55470387900E-008, +0.00000000000E+000
+1.00290000000E+008, -5.80780468272E-008, +0.00000000000E+000
+1.02289800000E+008, +1.04480038376E-008, +0.00000000000E+000
+1.04289600000E+008, -1.52042816553E-007, +0.00000000000E+000
+1.06289400000E+008, +1.53322007982E-007, +0.00000000000E+000
+1.08289200000E+008, -8.87627396072E-008, +0.00000000000E+000
+1.10289000000E+008, -2.60499037750E-008, +0.00000000000E+000
+1.12288800000E+008, -2.01811922846E-007, +0.00000000000E+000
+1.14288600000E+008, +1.41616372423E-007, +0.00000000000E+000
+1.16288400000E+008, +2.70394818601E-009, +0.00000000000E+000
+1.18288200000E+008, +2.38709031559E-007, +0.00000000000E+000
+1.20288000000E+008, -4.45489215835E-009, +0.00000000000E+000
+1.22287800000E+008, +7.26057729798E-008, +0.00000000000E+000
+1.24287600000E+008, -9.73959771214E-009, +0.00000000000E+000
+1.26287400000E+008, +2.76796042621E-008, +0.00000000000E+000
+1.28287200000E+008, -9.38991383268E-009, +0.00000000000E+000
+1.30287000000E+008, +3.56757895807E-008, +0.00000000000E+000
+1.32286800000E+008, +7.71583970643E-008, +0.00000000000E+000
+1.34286600000E+008, +6.47889925007E-008, +0.00000000000E+000
+1.36286400000E+008, +9.64878903527E-009, +0.00000000000E+000
+1.38286200000E+008, +1.47115487576E-008, +0.00000000000E+000
+1.40286000000E+008, +2.47151427377E-008, +0.00000000000E+000
+1.42285800000E+008, +5.26329677069E-008, +0.00000000000E+000
+1.44285600000E+008, +1.91364100430E-008, +0.00000000000E+000
+1.46285400000E+008, +3.61641988585E-008, +0.00000000000E+000
+1.48285200000E+008, +2.70467617312E-008, +0.00000000000E+000
+1.50285000000E+008, +4.16101564071E-008, +0.00000000000E+000
+1.52284800000E+008, +2.94081031896E-008, +0.00000000000E+000
+1.54284600000E+008, +3.55419354414E-008, +0.00000000000E+000
+1.56284400000E+008, +3.53701939219E-008, +0.00000000000E+000
+1.58284200000E+008, +3.45447570233E-008, +0.00000000000E+000
+1.60284000000E+008, +3.55544746698E-008, +0.00000000000E+000
+1.62283800000E+008, +3.24210148432E-008, +0.00000000000E+000
+1.64283600000E+008, +3.45605366279E-008, +0.00000000000E+000
+1.66283400000E+008, +3.41652281804E-008, +0.00000000000E+000
+1.68283200000E+008, +3.47509035271E-008, +0.00000000000E+000
+1.70283000000E+008, +3.44899546901E-008, +0.00000000000E+000
+1.72282800000E+008, +3.59960088363E-008, +0.00000000000E+000
+1.74282600000E+008, +3.67085550374E-008, +0.00000000000E+000
+1.76282400000E+008, +3.85697740206E-008, +0.00000000000E+000
+1.78282200000E+008, +4.08354876312E-008, +0.00000000000E+000
+1.80282000000E+008, +4.36402332460E-008, +0.00000000000E+000
+1.82281800000E+008, +4.61875755041E-008, +0.00000000000E+000
+1.84281600000E+008, +4.81243200431E-008, +0.00000000000E+000
+1.86281400000E+008, +4.88043529121E-008, +0.00000000000E+000
+1.88281200000E+008, +4.88729358286E-008, +0.00000000000E+000
+1.90281000000E+008, +4.87761258234E-008, +0.00000000000E+000
+1.92280800000E+008, +4.86379961703E-008, +0.00000000000E+000
+1.94280600000E+008, +4.88574119827E-008, +0.00000000000E+000
+1.96280400000E+008, +4.92305788795E-008, +0.00000000000E+000
+1.98280200000E+008, +4.95754144310E-008, +0.00000000000E+000
+2.00280000000E+008, +4.97833939263E-008, +0.00000000000E+000
+2.02279800000E+008, +4.95204712088E-008, +0.00000000000E+000
+2.04279600000E+008, +4.87911862455E-008, +0.00000000000E+000
+2.06279400000E+008, +4.77889422841E-008, +0.00000000000E+000
+2.08279200000E+008, +4.70907739552E-008, +0.00000000000E+000
+2.10279000000E+008, +4.70229066759E-008, +0.00000000000E+000
+2.12278800000E+008, +4.73584336956E-008, +0.00000000000E+000
+2.14278600000E+008, +4.78919037589E-008, +0.00000000000E+000
+2.16278400000E+008, +4.81783128003E-008, +0.00000000000E+000
+2.18278200000E+008, +4.79420342570E-008, +0.00000000000E+000
+2.20278000000E+008, +4.72326205552E-008, +0.00000000000E+000
+2.22277800000E+008, +4.61601315924E-008, +0.00000000000E+000
+2.24277600000E+008, +4.49668237853E-008, +0.00000000000E+000
+2.26277400000E+008, +4.38943633360E-008, +0.00000000000E+000
+2.28277200000E+008, +4.30570803464E-008, +0.00000000000E+000
+2.30277000000E+008, +4.21703045674E-008, +0.00000000000E+000
+2.32276800000E+008, +4.15572250056E-008, +0.00000000000E+000
+2.34276600000E+008, +4.08648432383E-008, +0.00000000000E+000
+2.36276400000E+008, +4.06110255176E-008, +0.00000000000E+000
+2.38276200000E+008, +4.03299042468E-008, +0.00000000000E+000
+2.40276000000E+008, +4.03567829857E-008, +0.00000000000E+000
+2.42275800000E+008, +4.03607894778E-008, +0.00000000000E+000
+2.44275600000E+008, +4.02125059330E-008, +0.00000000000E+000
+2.46275400000E+008, +3.99791587150E-008, +0.00000000000E+000
+2.48275200000E+008, +3.94289679176E-008, +0.00000000000E+000
+2.50275000000E+008, +3.89161963706E-008, +0.00000000000E+000
+2.52274800000E+008, +3.83564084790E-008, +0.00000000000E+000
+2.54274600000E+008, +3.77475953363E-008, +0.00000000000E+000
+2.56274400000E+008, +3.72298114994E-008, +0.00000000000E+000
+2.58274200000E+008, +3.67361275305E-008, +0.00000000000E+000
+2.60274000000E+008, +3.63463862591E-008, +0.00000000000E+000
+2.62273800000E+008, +3.60719614918E-008, +0.00000000000E+000
+2.64273600000E+008, +3.59301439151E-008, +0.00000000000E+000
+2.66273400000E+008, +3.58055737482E-008, +0.00000000000E+000
+2.68273200000E+008, +3.56902046611E-008, +0.00000000000E+000
+2.70273000000E+008, +3.57669219324E-008, +0.00000000000E+000
+2.72272800000E+008, +3.58324282900E-008, +0.00000000000E+000
+2.74272600000E+008, +3.59577793968E-008, +0.00000000000E+000
+2.76272400000E+008, +3.60056890087E-008, +0.00000000000E+000
+2.78272200000E+008, +3.61149250237E-008, +0.00000000000E+000
+2.80272000000E+008, +3.62399223199E-008, +0.00000000000E+000
+2.82271800000E+008, +3.64569753566E-008, +0.00000000000E+000
+2.84271600000E+008, +3.65073719608E-008, +0.00000000000E+000
+2.86271400000E+008, +3.65267047890E-008, +0.00000000000E+000
+2.88271200000E+008, +3.65536498048E-008, +0.00000000000E+000
+2.90271000000E+008, +3.65215744958E-008, +0.00000000000E+000
+2.92270800000E+008, +3.64553788772E-008, +0.00000000000E+000
+2.94270600000E+008, +3.63574736521E-008, +0.00000000000E+000
+2.96270400000E+008, +3.62215028639E-008, +0.00000000000E+000
+2.98270200000E+008, +3.59449367184E-008, +0.00000000000E+000
+3.00270000000E+008, +3.55963390262E-008, +0.00000000000E+000
+3.02269800000E+008, +3.52648220883E-008, +0.00000000000E+000
+3.04269600000E+008, +3.48152188309E-008, +0.00000000000E+000
+3.06269400000E+008, +3.44966286449E-008, +0.00000000000E+000
+3.08269200000E+008, +3.42509773864E-008, +0.00000000000E+000
+3.10269000000E+008, +3.39871388926E-008, +0.00000000000E+000
+3.12268800000E+008, +3.38135112460E-008, +0.00000000000E+000
+3.14268600000E+008, +3.36915071275E-008, +0.00000000000E+000
+3.16268400000E+008, +3.35609462281E-008, +0.00000000000E+000
+3.18268200000E+008, +3.33333448620E-008, +0.00000000000E+000
+3.20268000000E+008, +3.30957218897E-008, +0.00000000000E+000
+3.22267800000E+008, +3.28975960851E-008, +0.00000000000E+000
+3.24267600000E+008, +3.27791376864E-008, +0.00000000000E+000
+3.26267400000E+008, +3.28303594220E-008, +0.00000000000E+000
+3.28267200000E+008, +3.28446265517E-008, +0.00000000000E+000
+3.30267000000E+008, +3.29467206151E-008, +0.00000000000E+000
+3.32266800000E+008, +3.31171087760E-008, +0.00000000000E+000
+3.34266600000E+008, +3.31927052354E-008, +0.00000000000E+000
+3.36266400000E+008, +3.32954748099E-008, +0.00000000000E+000
+3.38266200000E+008, +3.35359921959E-008, +0.00000000000E+000
+3.40266000000E+008, +3.36671057723E-008, +0.00000000000E+000
+3.42265800000E+008, +3.39671560776E-008, +0.00000000000E+000
+3.44265600000E+008, +3.39882465196E-008, +0.00000000000E+000
+3.46265400000E+008, +3.39456932836E-008, +0.00000000000E+000
+3.48265200000E+008, +3.39431071071E-008, +0.00000000000E+000
+3.50265000000E+008, +3.40439208132E-008, +0.00000000000E+000
+3.52264800000E+008, +3.41151680972E-008, +0.00000000000E+000
+3.54264600000E+008, +3.40191929618E-008, +0.00000000000E+000
+3.56264400000E+008, +3.38212831131E-008, +0.00000000000E+000
+3.58264200000E+008, +3.34885038113E-008, +0.00000000000E+000
