"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +7.94375442084E-008, +0.00000000000E+000
+2.29980000000E+006, +7.94375442084E-008, +0.00000000000E+000
+4.29960000000E+006, -1.84590292844E-007, +0.00000000000E+000
+6.29940000000E+006, -2.09069129563E-008, +0.00000000000E+000
+8.29920000000E+006, +1.39611014827E-008, +0.00000000000E+000
+1.02990000000E+007, +1.26442934896E-007, +0.00000000000E+000
+1.22988000000E+007, +2.39700090327E-007, +0.00000000000E+000
+1.42986000000E+007, +6.05257641952E-008, +0.00000000000E+000
+1.62984000000E+007, -1.16143250440E-007, +0.00000000000E+000
+1.82982000000E+007, -2.09482284049E-007, +0.00000000000E+000
+2.02980000000E+007, +5.97349075154E-008, +0.00000000000E+000
+2.22978000000E+007, +1.32947294062E-007, +0.00000000000E+000
+2.42976000000E+007, +2.46966414441E-007, +0.00000000000E+000
+2.62974000000E+007, +6.86442722835E-008, +0.00000000000E+000
+2.82972000000E+007, +2.29955560863E-007, +0.00000000000E+000
+3.02970000000E+007, -1.92362794388E-007, +0.00000000000E+000
+3.22968000000E+007, -1.24389837769E-007, +0.00000000000E+000
+3.42966000000E+007, +2.27347516446E-007, +0.00000000000E+000
+3.62964000000E+007, -7.78428744920E-008, +0.00000000000E+000
+3.82962000000E+007, -1.82199879221E-007, +0.00000000000E+000
+4.02960000000E+007, +1.43584435349E-007, +0.00000000000E+000
+4.22958000000E+007, -3.06951969005E-008, +0.00000000000E+000
+4.42956000000E+007, +2.16317349036E-007, +0.00000000000E+000
+4.62954000000E+007, -1.16760885250E-007, +0.00000000000E+000
+4.82952000000E+007, +4.59819289463E-008, +0.00000000000E+000
+5.02950000000E+007, -1.96290034624E-007, +0.00000000000E+000
+5.22948000000E+007, -1.01722273698E-007, +0.00000000000E+000
+5.42946000000E+007, +2.35671495716E-007, +0.00000000000E+000
+5.62944000000E+007, -8.27849999305E-008, +0.00000000000E+000
+5.82942000000E+007, -2.11773004287E-007, +0.00000000000E+000
+6.02940000000E+007, +2.11283838649E-007, +0.00000000000E+000
+6.22938000000E+007, -1.79385191849E-007, +0.00000000000E+000
+6.42936000000E+007, -1.17788991936E-007, +0.00000000000E+000
+6.62934000000E+007, -1.94733280032E-007, +0.00000000000E+000
+6.82932000000E+007, +1.56400226480E-007, +0.00000000000E+000
+7.02930000000E+007, +1.63925464941E-007, +0.00000000000E+000
+7.22928000000E+007, -1.60753422359E-007, +0.00000000000E+000
+7.42926000000E+007, -7.87340649395E-008, +0.00000000000E+000
+7.62924000000E+007, +1.14295077838E-007, +0.00000000000E+000
+7.82922000000E+007, -2.05654712512E-007, +0.00000000000E+000
+8.02920000000E+007, -8.30452873897E-009, +0.00000000000E+000
+8.22918000000E+007, -1.23620422767E-007, +0.00000000000E+000
+8.42916000000E+007, +1.11354512868E-007, +0.00000000000E+000
+8.62914000000E+007, -1.49189701398E-007, +0.00000000000E+000
+8.82912000000E+007, +1.03526945747E-007, +0.00000000000E+000
+9.02910000000E+007, -1.84874601782E-007, +0.00000000000E+000
+9.22908000000E+007, -2.43777866027E-007, +0.00000000000E+000
+9.42906000000E+007, -4.05518260306E-008, +0.00000000000E+000
+9.62904000000E+007, -7.67368209596E-008, +0.00000000000E+000
+9.82902000000E+007, +8.84684855778E-008, +0.00000000000E+000
+1.00290000000E+008, +2.04235051589E-007, +0.00000000000E+000
+1.02289800000E+008, -9.25285945125E-008, +0.00000000000E+000
+1.04289600000E+008, +1.35313301510E-007, +0.00000000000E+000
+1.06289400000E+008, -1.38980546190E-007, +0.00000000000E+000
+1.08289200000E+008, +6.93551942717E-008, +0.00000000000E+000
+1.10289000000E+008, -1.19746133880E-007, +0.00000000000E+000
+1.12288800000E+008, +6.62780368056E-008, +0.00000000000E+000
+1.14288600000E+008, -1.50942218150E-007, +0.00000000000E+000
+1.16288400000E+008, +1.04569031762E-007, +0.00000000000E+000
+1.18288200000E+008, -7.77869038314E-008, +0.00000000000E+000
+1.20288000000E+008, -3.46480447623E-008, +0.00000000000E+000
+1.22287800000E+008, +7.72208188919E-009, +0.00000000000E+000
+1.24287600000E+008, +2.08183211104E-007, +0.00000000000E+000
