"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -2.48350897069E-007, +0.00000000000E+000
+2.29980000000E+006, -2.48350897069E-007, +0.00000000000E+000
+4.29960000000E+006, -1.82174546698E-007, +0.00000000000E+000
+6.29940000000E+006, -2.30554701310E-007, +0.00000000000E+000
+8.29920000000E+006, -1.28156109507E-008, +0.00000000000E+000
+1.02990000000E+007, -7.75320805405E-008, +0.00000000000E+000
+1.22988000000E+007, -5.43815664558E-008, +0.00000000000E+000
+1.42986000000E+007, -1.38693349437E-008, +0.00000000000E+000
+1.62984000000E+007, -1.21840046669E-007, +0.00000000000E+000
+1.82982000000E+007, -9.23919935976E-008, +0.00000000000E+000
+2.02980000000E+007, +6.52491361644E-008, +0.00000000000E+000
+2.22978000000E+007, +1.18929736527E-007, +0.00000000000E+000
+2.42976000000E+007, -2.13158459359E-007, +0.00000000000E+000
+2.62974000000E+007, +2.05431519266E-007, +0.00000000000E+000
+2.82972000000E+007, -9.31957309625E-008, +0.00000000000E+000
+3.02970000000E+007, -3.02813744705E-008, +0.00000000000E+000
+3.22968000000E+007, +1.89938738989E-007, +0.00000000000E+000
+3.42966000000E+007, +8.13617483457E-008, +0.00000000000E+000
+3.62964000000E+007, +1.64088042897E-007, +0.00000000000E+000
+3.82962000000E+007, +1.95212806394E-007, +0.00000000000E+000
+4.02960000000E+007, +2.39616563165E-007, +0.00000000000E+000
+4.22958000000E+007, +2.43113702153E-007, +0.00000000000E+000
+4.42956000000E+007, -4.15972511327E-008, +0.00000000000E+000
+4.62954000000E+007, +2.43000777470E-007, +0.00000000000E+000
+4.82952000000E+007, -1.05761607024E-007, +0.00000000000E+000
+5.02950000000E+007, +5.30652329991E-008, +0.00000000000E+000
+5.22948000000E+007, -1.83691182055E-007, +0.00000000000E+000
+5.42946000000E+007, +8.89874780316E-008, +0.00000000000E+000
+5.62944000000E+007, -5.45287920066E-008, +0.00000000000E+000
+5.82942000000E+007, +2.06805030249E-007, +0.00000000000E+000
+6.02940000000E+007, +2.32507489231E-007, +0.00000000000E+000
+6.22938000000E+007, -2.44429508860E-007, +0.00000000000E+000
+6.42936000000E+007, +2.81482187146E-008, +0.00000000000E+000
+6.62934000000E+007, +7.51218865872E-008, +0.00000000000E+000
+6.82932000000E+007, -7.81200926473E-008, +0.00000000000E+000
+7.02930000000E+007, -1.14696087684E-007, +0.00000000000E+000
+7.22928000000E+007, +3.74492781266E-008, +0.00000000000E+000
+7.42926000000E+007, -1.79658389966E-007, +0.00000000000E+000
+7.62924000000E+007, +5.07736956626E-008, +0.00000000000E+000
+7.82922000000E+007, -1.82719058789E-007, +0.00000000000E+000
+8.02920000000E+007, -1.90024481106E-008, +0.00000000000E+000
+8.22918000000E+007, -1.68302415235E-007, +0.00000000000E+000
+8.42916000000E+007, +2.29472603991E-007, +0.00000000000E+000
+8.62914000000E+007, -1.72571667520E-007, +0.00000000000E+000
+8.82912000000E+007, -1.73345334756E-008, +0.00000000000E+000
+9.02910000000E+007, -2.39902058325E-007, +0.00000000000E+000
+9.22908000000E+007, -1.03929579437E-007, +0.00000000000E+000
+9.42906000000E+007, -1.67847073891E-007, +0.00000000000E+000
