"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +2.54916571234E-008, +0.00000000000E+000
+2.29980000000E+006, +2.54916571234E-008, +0.00000000000E+000
+4.29960000000E+006, +1.19488315520E-007, +0.00000000000E+000
+6.29940000000E+006, +8.23081103597E-008, +0.00000000000E+000
+8.29920000000E+006, +1.05346227346E-007, +0.00000000000E+000
+1.02990000000E+007, -2.16964525211E-007, +0.00000000000E+000
+1.22988000000E+007, +1.57446485899E-007, +0.00000000000E+000
+1.42986000000E+007, -1.13621824387E-007, +0.00000000000E+000
+1.62984000000E+007, -1.76829382045E-007, +0.00000000000E+000
+1.82982000000E+007, -9.63578723046E-008, +0.00000000000E+000
+2.02980000000E+007, +8.99956608384E-009, +0.00000000000E+000
+2.22978000000E+007, -2.06924939689E-007, +0.00000000000E+000
+2.42976000000E+007, +1.80723192556E-007, +0.00000000000E+000
+2.62974000000E+007, +1.68218781237E-007, +0.00000000000E+000
+2.82972000000E+007, +7.16897523436E-008, +0.00000000000E+000
+3.02970000000E+007, -2.08272877470E-008, +0.00000000000E+000
+3.22968000000E+007, -1.16371080728E-007, +0.00000000000E+000
+3.42966000000E+007, +1.64127950297E-007, +0.00000000000E+000
+3.62964000000E+007, +2.24924112304E-007, +0.00000000000E+000
+3.82962000000E+007, -2.09579145895E-007, +0.00000000000E+000
+4.02960000000E+007, -1.17863387309E-008, +0.00000000000E+000
+4.22958000000E+007, -1.37871244610E-007, +0.00000000000E+000
+4.42956000000E+007, -1.60658836727E-008, +0.00000000000E+000
+4.62954000000E+007, -2.09468636134E-007, +0.00000000000E+000
+4.82952000000E+007, +2.18085413904E-007, +0.00000000000E+000
+5.02950000000E+007, -1.49345514472E-008, +0.00000000000E+000
+5.22948000000E+007, +1.33904725933E-007, +0.00000000000E+000
+5.42946000000E+007, +2.14533361861E-008, +0.00000000000E+000
+5.62944000000E+007, +6.18334219612E-008, +0.00000000000E+000
+5.82942000000E+007, -1.48799694535E-007, +0.00000000000E+000
+6.02940000000E+007, -1.48099988250E-007, +0.00000000000E+000
+6.22938000000E+007, +1.51943108260E-007, +0.00000000000E+000
+6.42936000000E+007, -4.05595921221E-008, +0.00000000000E+000
+6.62934000000E+007, -1.05730493292E-008, +0.00000000000E+000
+6.82932000000E+007, -3.56283065050E-008, +0.00000000000E+000
+7.02930000000E+007, +3.42043085295E-008, +0.00000000000E+000
+7.22928000000E+007, -2.20385876262E-007, +0.00000000000E+000
+7.42926000000E+007, -1.60757938358E-007, +0.00000000000E+000
+7.62924000000E+007, -2.14364171610E-007, +0.00000000000E+000
+7.82922000000E+007, +6.12267460421E-008, +0.00000000000E+000
+8.02920000000E+007, +5.67656219847E-008, +0.00000000000E+000
+8.22918000000E+007, +1.75681649081E-007, +0.00000000000E+000
+8.42916000000E+007, +1.14463309013E-007, +0.00000000000E+000
+8.62914000000E+007, +2.47050619674E-008, +0.00000000000E+000
+8.82912000000E+007, +2.65879204125E-008, +0.00000000000E+000
+9.02910000000E+007, +7.62280757568E-008, +0.00000000000E+000
+9.22908000000E+007, +2.44913152432E-007, +0.00000000000E+000
+9.42906000000E+007, +4.29615990660E-008, +0.00000000000E+000
+9.62904000000E+007, -2.12315292006E-007, +0.00000000000E+000
+9.82902000000E+007, -4.95569371985E-008, +0.00000000000E+000
+1.00290000000E+008, +8.95486612130E-008, +0.00000000000E+000
+1.02289800000E+008, -1.43611070515E-007, +0.00000000000E+000
+1.04289600000E+008, -5.61124534122E-008, +0.00000000000E+000
+1.06289400000E+008, -1.76506772723E-008, +0.00000000000E+000
+1.08289200000E+008, +2.44033274744E-007, +0.00000000000E+000
+1.10289000000E+008, +4.05518442757E-008, +0.00000000000E+000
+1.12288800000E+008, -7.95247129927E-008, +0.00000000000E+000
+1.14288600000E+008, +9.14204674355E-008, +0.00000000000E+000
+1.16288400000E+008, +1.02289773270E-007, +0.00000000000E+000
+1.18288200000E+008, -1.17285239981E-007, +0.00000000000E+000
+1.20288000000E+008, -1.84468958167E-007, +0.00000000000E+000
+1.22287800000E+008, +1.81816050305E-007, +0.00000000000E+000
+1.24287600000E+008, +1.17389967775E-007, +0.00000000000E+000
+1.26287400000E+008, +2.37985597638E-007, +0.00000000000E+000
+1.28287200000E+008, -9.19561485520E-008, +0.00000000000E+000
+1.30287000000E+008, -1.02367836534E-007, +0.00000000000E+000
+1.32286800000E+008, +1.98299583395E-007, +0.00000000000E+000
+1.34286600000E+008, -3.85748373149E-009, +0.00000000000E+000
+1.36286400000E+008, +1.68876430823E-007, +0.00000000000E+000
+1.38286200000E+008, +2.31052555820E-007, +0.00000000000E+000
+1.40286000000E+008, +1.94155755247E-007, +0.00000000000E+000
+1.42285800000E+008, +8.63819314143E-008, +0.00000000000E+000
+1.44285600000E+008, -9.75197756931E-008, +0.00000000000E+000
+1.46285400000E+008, +5.80361564967E-008, +0.00000000000E+000
+1.48285200000E+008, -9.69172235045E-008, +0.00000000000E+000
+1.50285000000E+008, +2.15018197992E-007, +0.00000000000E+000
+1.52284800000E+008, +8.39140755454E-008, +0.00000000000E+000
+1.54284600000E+008, +2.82556492416E-008, +0.00000000000E+000
+1.56284400000E+008, +2.25239654778E-007, +0.00000000000E+000
+1.58284200000E+008, -1.77432164230E-007, +0.00000000000E+000
+1.60284000000E+008, -3.46743240915E-008, +0.00000000000E+000
+1.62283800000E+008, +1.29764585477E-007, +0.00000000000E+000
+1.64283600000E+008, +3.16074372949E-008, +0.00000000000E+000
+1.66283400000E+008, +2.32664766922E-008, +0.00000000000E+000
+1.68283200000E+008, +3.52081180610E-008, +0.00000000000E+000
+1.70283000000E+008, +4.59264959139E-008, +0.00000000000E+000
+1.72282800000E+008, +3.74400393649E-008, +0.00000000000E+000
+1.74282600000E+008, +3.73631339027E-008, +0.00000000000E+000
+1.76282400000E+008, +3.08841237174E-008, +0.00000000000E+000
+1.78282200000E+008, +4.03839354236E-008, +0.00000000000E+000
+1.80282000000E+008, +4.07511985046E-008, +0.00000000000E+000
+1.82281800000E+008, +4.06851631229E-008, +0.00000000000E+000
+1.84281600000E+008, +4.18779037684E-008, +0.00000000000E+000
+1.86281400000E+008, +4.20044860257E-008, +0.00000000000E+000
+1.88281200000E+008, +4.36516215399E-008, +0.00000000000E+000
+1.90281000000E+008, +4.65627607503E-008, +0.00000000000E+000
+1.92280800000E+008, +4.69867410979E-008, +0.00000000000E+000
+1.94280600000E+008, +5.17855991090E-008, +0.00000000000E+000
+1.96280400000E+008, +5.08826109606E-008, +0.00000000000E+000
+1.98280200000E+008, +5.30331396061E-008, +0.00000000000E+000
+2.00280000000E+008, +5.34888968930E-008, +0.00000000000E+000
+2.02279800000E+008, +5.23659274231E-008, +0.00000000000E+000
+2.04279600000E+008, +5.12740367778E-008, +0.00000000000E+000
