"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +2.32654439349E-007, +0.00000000000E+000
+2.29980000000E+006, +2.32654439349E-007, +0.00000000000E+000
+4.29960000000E+006, -1.76773899354E-007, +0.00000000000E+000
+6.29940000000E+006, +1.85241047381E-007, +0.00000000000E+000
+8.29920000000E+006, +6.57797662303E-008, +0.00000000000E+000
+1.02990000000E+007, +3.41417652765E-008, +0.00000000000E+000
+1.22988000000E+007, +7.89953533834E-008, +0.00000000000E+000
+1.42986000000E+007, -4.76080038999E-008, +0.00000000000E+000
+1.62984000000E+007, -2.46405439104E-007, +0.00000000000E+000
+1.82982000000E+007, +1.14792097921E-007, +0.00000000000E+000
+2.02980000000E+007, +1.28831157572E-008, +0.00000000000E+000
+2.22978000000E+007, +1.99214175863E-007, +0.00000000000E+000
+2.42976000000E+007, -1.28114493666E-007, +0.00000000000E+000
+2.62974000000E+007, +3.76864620014E-008, +0.00000000000E+000
+2.82972000000E+007, +1.43066301044E-007, +0.00000000000E+000
+3.02970000000E+007, -1.45592165495E-007, +0.00000000000E+000
+3.22968000000E+007, +1.48103502606E-007, +0.00000000000E+000
+3.42966000000E+007, +8.54541119189E-008, +0.00000000000E+000
+3.62964000000E+007, -2.09423328482E-007, +0.00000000000E+000
+3.82962000000E+007, -1.15945928018E-007, +0.00000000000E+000
+4.02960000000E+007, -2.37924354084E-008, +0.00000000000E+000
+4.22958000000E+007, -5.99526537233E-008, +0.00000000000E+000
+4.42956000000E+007, -7.12622621477E-008, +0.00000000000E+000
+4.62954000000E+007, +1.96768897863E-007, +0.00000000000E+000
+4.82952000000E+007, -3.77452613677E-008, +0.00000000000E+000
+5.02950000000E+007, +1.43864368304E-007, +0.00000000000E+000
+5.22948000000E+007, -5.68209397328E-008, +0.00000000000E+000
+5.42946000000E+007, -2.73697036796E-008, +0.00000000000E+000
+5.62944000000E+007, -5.06073573406E-008, +0.00000000000E+000
+5.82942000000E+007, +1.50221920494E-007, +0.00000000000E+000
+6.02940000000E+007, +2.14179792365E-007, +0.00000000000E+000
+6.22938000000E+007, +8.39600603765E-009, +0.00000000000E+000
+6.42936000000E+007, -1.91091353314E-008, +0.00000000000E+000
+6.62934000000E+007, -1.74851179968E-007, +0.00000000000E+000
+6.82932000000E+007, +2.08711595332E-007, +0.00000000000E+000
+7.02930000000E+007, +2.45658079204E-008, +0.00000000000E+000
+7.22928000000E+007, -1.46011990343E-007, +0.00000000000E+000
+7.42926000000E+007, -3.72858286472E-008, +0.00000000000E+000
+7.62924000000E+007, +2.26012550293E-007, +0.00000000000E+000
+7.82922000000E+007, +1.34628551381E-007, +0.00000000000E+000
+8.02920000000E+007, -2.34422416494E-007, +0.00000000000E+000
+8.22918000000E+007, +1.54594782128E-007, +0.00000000000E+000
+8.42916000000E+007, -1.48028468701E-007, +0.00000000000E+000
+8.62914000000E+007, +2.47626970529E-008, +0.00000000000E+000
+8.82912000000E+007, +1.89754951734E-007, +0.00000000000E+000
+9.02910000000E+007, -2.08097942485E-007, +0.00000000000E+000
+9.22908000000E+007, +7.01498607670E-009, +0.00000000000E+000
+9.42906000000E+007, +1.40983707000E-007, +0.00000000000E+000
+9.62904000000E+007, +2.10763502474E-007, +0.00000000000E+000
+9.82902000000E+007, -4.93893440096E-008, +0.00000000000E+000
+1.00290000000E+008, -9.26575691804E-008, +0.00000000000E+000
+1.02289800000E+008, +8.03110892853E-008, +0.00000000000E+000
+1.04289600000E+008, +1.48470788497E-007, +0.00000000000E+000
+1.06289400000E+008, -6.96753125041E-008, +0.00000000000E+000
+1.08289200000E+008, +6.71866599427E-008, +0.00000000000E+000
+1.10289000000E+008, +9.75144803855E-009, +0.00000000000E+000
+1.12288800000E+008, +1.89327056672E-007, +0.00000000000E+000
+1.14288600000E+008, +6.35945478476E-008, +0.00000000000E+000
