"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +4.79501749772E-005, +0.00000000000E+000
+2.29980000000E+006, +1.84785817996E-005, +0.00000000000E+000
+4.29960000000E+006, +2.09310320357E-005, +0.00000000000E+000
+6.29940000000E+006, +4.47217510035E-005, +0.00000000000E+000
+8.29920000000E+006, +6.34191897600E-005, +0.00000000000E+000
+1.02990000000E+007, +1.32448448002E-004, +0.00000000000E+000
+1.22988000000E+007, +1.95253469976E-004, +0.00000000000E+000
+1.42986000000E+007, +2.90765383752E-004, +0.00000000000E+000
+1.62984000000E+007, +1.11619708499E-004, +0.00000000000E+000
+1.82982000000E+007, +3.43962177120E-004, +0.00000000000E+000
+2.02980000000E+007, +2.01670531681E-004, +0.00000000000E+000
+2.22978000000E+007, +2.03303517132E-004, +0.00000000000E+000
+2.42976000000E+007, +1.74779561764E-004, +0.00000000000E+000
+2.62974000000E+007, +3.63175840854E-004, +0.00000000000E+000
+2.82972000000E+007, +1.23384722268E-004, +0.00000000000E+000
+3.02970000000E+007, +3.77278420809E-004, +0.00000000000E+000
+3.22968000000E+007, +1.37670538263E-004, +0.00000000000E+000
+3.42966000000E+007, +1.96238208667E-004, +0.00000000000E+000
+3.62964000000E+007, +4.28956771631E-005, +0.00000000000E+000
+3.82962000000E+007, +3.26149821706E-004, +0.00000000000E+000
+4.02960000000E+007, +4.11713006941E-004, +0.00000000000E+000
+4.22958000000E+007, +3.91694571391E-004, +0.00000000000E+000
+4.42956000000E+007, +9.97022092284E-004, +0.00000000000E+000
+4.62954000000E+007, +3.49381694622E-004, +0.00000000000E+000
+4.82952000000E+007, +4.30912515770E-005, +0.00000000000E+000
+5.02950000000E+007, +5.87754612678E-004, +0.00000000000E+000
+5.22948000000E+007, +1.19225336213E-004, +0.00000000000E+000
+5.42946000000E+007, +2.54228330473E-004, +0.00000000000E+000
+5.62944000000E+007, +3.24786527469E-004, +0.00000000000E+000
+5.82942000000E+007, +4.92211280352E-004, +0.00000000000E+000
+6.02940000000E+007, +6.29820623250E-004, +0.00000000000E+000
+6.22938000000E+007, +8.98797809918E-004, +0.00000000000E+000
+6.42936000000E+007, +6.92434635036E-004, +0.00000000000E+000
+6.62934000000E+007, +9.59955412803E-004, +0.00000000000E+000
+6.82932000000E+007, +1.20139705615E-003, +0.00000000000E+000
+7.02930000000E+007, +1.02373999286E-003, +0.00000000000E+000
+7.22928000000E+007, +1.41652979109E-003, +0.00000000000E+000
+7.42926000000E+007, +1.94526716717E-003, +0.00000000000E+000
+7.62924000000E+007, +2.14133087025E-003, +0.00000000000E+000
+7.82922000000E+007, +1.53752387468E-003, +0.00000000000E+000
+8.02920000000E+007, +9.61912862389E-004, +0.00000000000E+000
+8.22918000000E+007, +1.65410999556E-003, +0.00000000000E+000
+8.42916000000E+007, +4.99581301463E-004, +0.00000000000E+000
+8.62914000000E+007, +4.04038311374E-004, +0.00000000000E+000
+8.82912000000E+007, +7.66110655919E-004, +0.00000000000E+000
+9.02910000000E+007, +6.58719909590E-004, +0.00000000000E+000
+9.22908000000E+007, +1.10784837933E-003, +0.00000000000E+000
+9.42906000000E+007, +1.64714491921E-003, +0.00000000000E+000
+9.62904000000E+007, +1.12360301258E-003, +0.00000000000E+000
+9.82902000000E+007, +2.72201798230E-003, +0.00000000000E+000
+1.00290000000E+008, +1.63080544704E-004, +0.00000000000E+000
+1.02289800000E+008, +1.70823533311E-003, +0.00000000000E+000
+1.04289600000E+008, +1.30429721956E-003, +0.00000000000E+000
+1.06289400000E+008, +1.31112276688E-003, +0.00000000000E+000
+1.08289200000E+008, +1.16417652878E-003, +0.00000000000E+000
+1.10289000000E+008, +4.20420414935E-004, +0.00000000000E+000
+1.12288800000E+008, +2.22214268252E-004, +0.00000000000E+000
+1.14288600000E+008, +8.33694685953E-004, +0.00000000000E+000
+1.16288400000E+008, +1.07827371095E-003, +0.00000000000E+000
+1.18288200000E+008, +9.35201449058E-004, +0.00000000000E+000
+1.20288000000E+008, +1.33195570399E-003, +0.00000000000E+000
+1.22287800000E+008, +7.06593235943E-004, +0.00000000000E+000
+1.24287600000E+008, +8.25664370554E-004, +0.00000000000E+000
+1.26287400000E+008, +1.55744686098E-003, +0.00000000000E+000
+1.28287200000E+008, +8.09238282665E-004, +0.00000000000E+000
+1.30287000000E+008, +1.44709383930E-003, +0.00000000000E+000
+1.32286800000E+008, +2.59616851655E-003, +0.00000000000E+000
