"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +3.26960492106E-005, +0.00000000000E+000
+2.29980000000E+006, +1.31369200769E-005, +0.00000000000E+000
+4.29960000000E+006, +1.28213733748E-005, +0.00000000000E+000
+6.29940000000E+006, +3.25142599895E-005, +0.00000000000E+000
+8.29920000000E+006, +1.10657811109E-005, +0.00000000000E+000
+1.02990000000E+007, +1.31727742159E-004, +0.00000000000E+000
+1.22988000000E+007, +1.51200322591E-004, +0.00000000000E+000
+1.42986000000E+007, +9.26394689795E-005, +0.00000000000E+000
+1.62984000000E+007, +2.98508736280E-004, +0.00000000000E+000
+1.82982000000E+007, +2.84146712725E-004, +0.00000000000E+000
+2.02980000000E+007, +3.01055322783E-004, +0.00000000000E+000
+2.22978000000E+007, +1.32181299594E-004, +0.00000000000E+000
+2.42976000000E+007, +1.77587397676E-004, +0.00000000000E+000
+2.62974000000E+007, +1.23567957326E-004, +0.00000000000E+000
+2.82972000000E+007, +8.93136085595E-005, +0.00000000000E+000
+3.02970000000E+007, +2.80399382647E-004, +0.00000000000E+000
+3.22968000000E+007, +1.27123880260E-004, +0.00000000000E+000
+3.42966000000E+007, +1.51884925861E-004, +0.00000000000E+000
+3.62964000000E+007, +8.64100916246E-005, +0.00000000000E+000
+3.82962000000E+007, +2.36249950050E-004, +0.00000000000E+000
+4.02960000000E+007, +2.51497831320E-004, +0.00000000000E+000
+4.22958000000E+007, +2.13680527381E-004, +0.00000000000E+000
+4.42956000000E+007, +2.65508399594E-004, +0.00000000000E+000
+4.62954000000E+007, +1.49644303109E-004, +0.00000000000E+000
+4.82952000000E+007, +2.30838676441E-004, +0.00000000000E+000
+5.02950000000E+007, +1.14321401679E-004, +0.00000000000E+000
+5.22948000000E+007, +2.58873673177E-004, +0.00000000000E+000
+5.42946000000E+007, +2.60625100066E-004, +0.00000000000E+000
+5.62944000000E+007, +1.80200637312E-004, +0.00000000000E+000
+5.82942000000E+007, +1.94003535557E-004, +0.00000000000E+000
+6.02940000000E+007, +3.74312372657E-004, +0.00000000000E+000
+6.22938000000E+007, +6.52143135607E-004, +0.00000000000E+000
+6.42936000000E+007, +5.59085173241E-004, +0.00000000000E+000
+6.62934000000E+007, +1.91661638617E-004, +0.00000000000E+000
+6.82932000000E+007, +1.13680153755E-003, +0.00000000000E+000
+7.02930000000E+007, +7.82445199441E-004, +0.00000000000E+000
+7.22928000000E+007, +2.62835955524E-004, +0.00000000000E+000
+7.42926000000E+007, +3.49424303099E-004, +0.00000000000E+000
+7.62924000000E+007, +5.09328354244E-004, +0.00000000000E+000
+7.82922000000E+007, +1.23803466989E-003, +0.00000000000E+000
+8.02920000000E+007, +6.16921415927E-004, +0.00000000000E+000
+8.22918000000E+007, +1.01630632525E-004, +0.00000000000E+000
+8.42916000000E+007, +8.48120358980E-005, +0.00000000000E+000
+8.62914000000E+007, +3.30309655657E-004, +0.00000000000E+000
+8.82912000000E+007, +4.80140122569E-004, +0.00000000000E+000
+9.02910000000E+007, +2.69739128700E-004, +0.00000000000E+000
+9.22908000000E+007, +8.54863707909E-004, +0.00000000000E+000
+9.42906000000E+007, +7.62548494194E-004, +0.00000000000E+000
+9.62904000000E+007, +1.00739294156E-003, +0.00000000000E+000
+9.82902000000E+007, +7.25694712527E-004, +0.00000000000E+000
+1.00290000000E+008, +2.20544200641E-004, +0.00000000000E+000
+1.02289800000E+008, +1.62807404518E-003, +0.00000000000E+000
+1.04289600000E+008, +6.62886928387E-004, +0.00000000000E+000
+1.06289400000E+008, +9.43150771634E-005, +0.00000000000E+000
+1.08289200000E+008, +9.89519535782E-004, +0.00000000000E+000
+1.10289000000E+008, +7.80338727492E-004, +0.00000000000E+000
+1.12288800000E+008, +3.10476553918E-004, +0.00000000000E+000
+1.14288600000E+008, +1.19024278321E-003, +0.00000000000E+000
+1.16288400000E+008, +8.65725780637E-004, +0.00000000000E+000
+1.18288200000E+008, +6.35818349364E-004, +0.00000000000E+000
+1.20288000000E+008, +6.11983864760E-004, +0.00000000000E+000
+1.22287800000E+008, +4.01856816237E-004, +0.00000000000E+000
+1.24287600000E+008, +1.14798916164E-003, +0.00000000000E+000
+1.26287400000E+008, +4.85487911345E-004, +0.00000000000E+000
+1.28287200000E+008, +7.31895386306E-004, +0.00000000000E+000
+1.30287000000E+008, +2.55916632102E-004, +0.00000000000E+000
+1.32286800000E+008, +4.26773809025E-004, +0.00000000000E+000
+1.34286600000E+008, +2.58760137498E-004, +0.00000000000E+000
+1.36286400000E+008, +1.99988733715E-004, +0.00000000000E+000
+1.38286200000E+008, +5.42474868594E-004, +0.00000000000E+000
+1.40286000000E+008, +8.85266082892E-004, +0.00000000000E+000
+1.42285800000E+008, +2.50774558236E-004, +0.00000000000E+000
+1.44285600000E+008, +9.66552408214E-004, +0.00000000000E+000
+1.46285400000E+008, +7.92026177794E-004, +0.00000000000E+000
+1.48285200000E+008, +3.48419015403E-004, +0.00000000000E+000
+1.50285000000E+008, +1.08998302022E-003, +0.00000000000E+000
+1.52284800000E+008, +1.08057111406E-003, +0.00000000000E+000
+1.54284600000E+008, +1.12740930304E-003, +0.00000000000E+000
+1.56284400000E+008, +6.59074286747E-004, +0.00000000000E+000
+1.58284200000E+008, +1.51981046049E-003, +0.00000000000E+000
+1.60284000000E+008, +1.96830533530E-003, +0.00000000000E+000
+1.62283800000E+008, +3.06266133282E-003, +0.00000000000E+000
+1.64283600000E+008, +3.51478921501E-003, +0.00000000000E+000
+1.66283400000E+008, +4.54171260716E-003, +0.00000000000E+000
+1.68283200000E+008, +5.09608859020E-003, +0.00000000000E+000
+1.70283000000E+008, +7.36980811739E-003, +0.00000000000E+000
+1.72282800000E+008, +8.90557282258E-003, +0.00000000000E+000
+1.74282600000E+008, +1.05183300141E-002, +0.00000000000E+000
+1.76282400000E+008, +1.38831522350E-002, +0.00000000000E+000
+1.78282200000E+008, +1.78993001879E-002, +0.00000000000E+000
+1.80282000000E+008, +2.44679792999E-002, +0.00000000000E+000
+1.82281800000E+008, +3.25506998872E-002, +0.00000000000E+000
+1.84281600000E+008, +4.19133744871E-002, +0.00000000000E+000
+1.86281400000E+008, +5.58183616262E-002, +0.00000000000E+000
+1.88281200000E+008, +7.58151196468E-002, +0.00000000000E+000
+1.90281000000E+008, +9.86244396389E-002, +0.00000000000E+000
+1.92280800000E+008, +1.31173520300E-001, +0.00000000000E+000
+1.94280600000E+008, +1.66609389423E-001, +0.00000000000E+000
+1.96280400000E+008, +2.07860204494E-001, +0.00000000000E+000
+1.98280200000E+008, +2.51758104949E-001, +0.00000000000E+000
+2.00280000000E+008, +2.98655202974E-001, +0.00000000000E+000
+2.02279800000E+008, +3.44338814188E-001, +0.00000000000E+000
+2.04279600000E+008, +3.88977375701E-001, +0.00000000000E+000
+2.06279400000E+008, +4.32961120378E-001, +0.00000000000E+000
+2.08279200000E+008, +4.77934121673E-001, +0.00000000000E+000
+2.10279000000E+008, +5.22503543238E-001, +0.00000000000E+000
+2.12278800000E+008, +5.60944898103E-001, +0.00000000000E+000
+2.14278600000E+008, +5.95996678156E-001, +0.00000000000E+000
+2.16278400000E+008, +6.10713612316E-001, +0.00000000000E+000
+2.18278200000E+008, +6.18387778465E-001, +0.00000000000E+000
+2.20278000000E+008, +6.25875617353E-001, +0.00000000000E+000
+2.22277800000E+008, +6.25787365854E-001, +0.00000000000E+000
+2.24277600000E+008, +6.23593668885E-001, +0.00000000000E+000
+2.26277400000E+008, +6.19418166970E-001, +0.00000000000E+000
+2.28277200000E+008, +6.14751989742E-001, +0.00000000000E+000
+2.30277000000E+008, +6.17570369332E-001, +0.00000000000E+000
+2.32276800000E+008, +6.13876129010E-001, +0.00000000000E+000
+2.34276600000E+008, +6.03125676026E-001, +0.00000000000E+000
+2.36276400000E+008, +5.99144368683E-001, +0.00000000000E+000
+2.38276200000E+008, +5.91815732629E-001, +0.00000000000E+000
+2.40276000000E+008, +5.75210028135E-001, +0.00000000000E+000
+2.42275800000E+008, +5.64409606795E-001, +0.00000000000E+000
+2.44275600000E+008, +5.68780354356E-001, +0.00000000000E+000
+2.46275400000E+008, +5.81077568357E-001, +0.00000000000E+000
+2.48275200000E+008, +5.90175514134E-001, +0.00000000000E+000
+2.50275000000E+008, +5.92679784154E-001, +0.00000000000E+000
+2.52274800000E+008, +5.90503462218E-001, +0.00000000000E+000
+2.54274600000E+008, +5.91610457053E-001, +0.00000000000E+000
+2.56274400000E+008, +5.88641319508E-001, +0.00000000000E+000
+2.58274200000E+008, +5.83126339779E-001, +0.00000000000E+000
+2.60274000000E+008, +5.77346791290E-001, +0.00000000000E+000
+2.62273800000E+008, +5.80041451146E-001, +0.00000000000E+000
+2.64273600000E+008, +5.82609249404E-001, +0.00000000000E+000
+2.66273400000E+008, +5.85530872430E-001, +0.00000000000E+000
+2.68273200000E+008, +5.85043865963E-001, +0.00000000000E+000
+2.70273000000E+008, +5.82515796514E-001, +0.00000000000E+000
+2.72272800000E+008, +5.70654407135E-001, +0.00000000000E+000
+2.74272600000E+008, +5.70396961677E-001, +0.00000000000E+000
+2.76272400000E+008, +5.83138701679E-001, +0.00000000000E+000
