"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.00295415937E+002, +0.00000000000E+000
+2.29980000000E+006, -9.39950853448E+001, +0.00000000000E+000
+4.29960000000E+006, -9.33581593727E+001, +0.00000000000E+000
+6.29940000000E+006, -9.07409799327E+001, +0.00000000000E+000
+8.29920000000E+006, -8.56652040558E+001, +0.00000000000E+000
+1.02990000000E+007, -7.88787066932E+001, +0.00000000000E+000
+1.22988000000E+007, -8.90326148803E+001, +0.00000000000E+000
+1.42986000000E+007, -8.13994065897E+001, +0.00000000000E+000
+1.62984000000E+007, -7.80291115179E+001, +0.00000000000E+000
+1.82982000000E+007, -7.78958258069E+001, +0.00000000000E+000
+2.02980000000E+007, -7.78811486187E+001, +0.00000000000E+000
+2.22978000000E+007, -7.75115610648E+001, +0.00000000000E+000
+2.42976000000E+007, -8.21411173132E+001, +0.00000000000E+000
+2.62974000000E+007, -7.51236734768E+001, +0.00000000000E+000
+2.82972000000E+007, -7.29431956022E+001, +0.00000000000E+000
+3.02970000000E+007, -8.44340542479E+001, +0.00000000000E+000
+3.22968000000E+007, -7.90342768354E+001, +0.00000000000E+000
+3.42966000000E+007, -8.15446738531E+001, +0.00000000000E+000
+3.62964000000E+007, -7.76251035663E+001, +0.00000000000E+000
+3.82962000000E+007, -7.47727641234E+001, +0.00000000000E+000
+4.02960000000E+007, -7.33000178290E+001, +0.00000000000E+000
+4.22958000000E+007, -6.81169420093E+001, +0.00000000000E+000
+4.42956000000E+007, -7.02475266375E+001, +0.00000000000E+000
+4.62954000000E+007, -7.27896495430E+001, +0.00000000000E+000
+4.82952000000E+007, -6.97742863287E+001, +0.00000000000E+000
+5.02950000000E+007, -6.58146183425E+001, +0.00000000000E+000
+5.22948000000E+007, -7.17757042593E+001, +0.00000000000E+000
+5.42946000000E+007, -6.92070573830E+001, +0.00000000000E+000
+5.62944000000E+007, -6.68132343030E+001, +0.00000000000E+000
+5.82942000000E+007, -7.35037212246E+001, +0.00000000000E+000
+6.02940000000E+007, -6.67021505328E+001, +0.00000000000E+000
+6.22938000000E+007, -7.05775069044E+001, +0.00000000000E+000
+6.42936000000E+007, -7.13281054676E+001, +0.00000000000E+000
+6.62934000000E+007, -6.88962706113E+001, +0.00000000000E+000
+6.82932000000E+007, -6.66793029140E+001, +0.00000000000E+000
+7.02930000000E+007, -5.86337464149E+001, +0.00000000000E+000
+7.22928000000E+007, -6.19206538188E+001, +0.00000000000E+000
+7.42926000000E+007, -5.92050617898E+001, +0.00000000000E+000
+7.62924000000E+007, -6.60400065588E+001, +0.00000000000E+000
+7.82922000000E+007, -6.52020177912E+001, +0.00000000000E+000
+8.02920000000E+007, -6.92343081596E+001, +0.00000000000E+000
+8.22918000000E+007, -6.36720393855E+001, +0.00000000000E+000
+8.42916000000E+007, -6.38595451318E+001, +0.00000000000E+000
+8.62914000000E+007, -5.86807873797E+001, +0.00000000000E+000
+8.82912000000E+007, -7.55866295005E+001, +0.00000000000E+000
+9.02910000000E+007, -6.91109488963E+001, +0.00000000000E+000
+9.22908000000E+007, -6.04790189950E+001, +0.00000000000E+000
+9.42906000000E+007, -6.00225040823E+001, +0.00000000000E+000
+9.62904000000E+007, -6.84968727071E+001, +0.00000000000E+000
+9.82902000000E+007, -6.14147786171E+001, +0.00000000000E+000
+1.00290000000E+008, -6.04945067146E+001, +0.00000000000E+000
+1.02289800000E+008, -6.37033737177E+001, +0.00000000000E+000
+1.04289600000E+008, -6.26478781989E+001, +0.00000000000E+000
+1.06289400000E+008, -6.11957028411E+001, +0.00000000000E+000
+1.08289200000E+008, -6.29436155310E+001, +0.00000000000E+000
+1.10289000000E+008, -6.58034947117E+001, +0.00000000000E+000
+1.12288800000E+008, -6.34275655384E+001, +0.00000000000E+000
+1.14288600000E+008, -6.04515784745E+001, +0.00000000000E+000
+1.16288400000E+008, -6.11668613090E+001, +0.00000000000E+000
+1.18288200000E+008, -6.49947166249E+001, +0.00000000000E+000
+1.20288000000E+008, -7.00770904600E+001, +0.00000000000E+000
+1.22287800000E+008, -6.35142004343E+001, +0.00000000000E+000
+1.24287600000E+008, -5.93033415129E+001, +0.00000000000E+000
+1.26287400000E+008, -6.42284968703E+001, +0.00000000000E+000
+1.28287200000E+008, -6.11736926704E+001, +0.00000000000E+000
+1.30287000000E+008, -5.90212056611E+001, +0.00000000000E+000
+1.32286800000E+008, -5.94228262944E+001, +0.00000000000E+000
+1.34286600000E+008, -5.59223358226E+001, +0.00000000000E+000
+1.36286400000E+008, -5.32730516165E+001, +0.00000000000E+000
+1.38286200000E+008, -5.43458919435E+001, +0.00000000000E+000
+1.40286000000E+008, -5.10732064489E+001, +0.00000000000E+000
+1.42285800000E+008, -4.73941472562E+001, +0.00000000000E+000
+1.44285600000E+008, -4.70742727754E+001, +0.00000000000E+000
+1.46285400000E+008, -4.50288006669E+001, +0.00000000000E+000
+1.48285200000E+008, -4.21333657225E+001, +0.00000000000E+000
+1.50285000000E+008, -3.98957683159E+001, +0.00000000000E+000
+1.52284800000E+008, -3.80370750174E+001, +0.00000000000E+000
+1.54284600000E+008, -3.58266069260E+001, +0.00000000000E+000
+1.56284400000E+008, -3.36669930207E+001, +0.00000000000E+000
+1.58284200000E+008, -3.18971356417E+001, +0.00000000000E+000
+1.60284000000E+008, -2.93662216212E+001, +0.00000000000E+000
+1.62283800000E+008, -2.75008749384E+001, +0.00000000000E+000
+1.64283600000E+008, -2.52286784119E+001, +0.00000000000E+000
+1.66283400000E+008, -2.30559754185E+001, +0.00000000000E+000
+1.68283200000E+008, -2.07040934596E+001, +0.00000000000E+000
+1.70283000000E+008, -1.83374162740E+001, +0.00000000000E+000
+1.72282800000E+008, -1.58252177210E+001, +0.00000000000E+000
+1.74282600000E+008, -1.32163738040E+001, +0.00000000000E+000
+1.76282400000E+008, -1.05810991707E+001, +0.00000000000E+000
+1.78282200000E+008, -7.92207482649E+000, +0.00000000000E+000
+1.80282000000E+008, -5.37354116972E+000, +0.00000000000E+000
+1.82281800000E+008, -3.05734827243E+000, +0.00000000000E+000
+1.84281600000E+008, -9.47270887321E-001, +0.00000000000E+000
+1.86281400000E+008, +9.64792413931E-001, +0.00000000000E+000
+1.88281200000E+008, +2.70512735244E+000, +0.00000000000E+000
+1.90281000000E+008, +4.29521426230E+000, +0.00000000000E+000
+1.92280800000E+008, +5.78142941874E+000, +0.00000000000E+000
+1.94280600000E+008, +7.17123044942E+000, +0.00000000000E+000
+1.96280400000E+008, +8.48168553336E+000, +0.00000000000E+000
+1.98280200000E+008, +9.69318840238E+000, +0.00000000000E+000
+2.00280000000E+008, +1.08098976632E+001, +0.00000000000E+000
+2.02279800000E+008, +1.18024175523E+001, +0.00000000000E+000
+2.04279600000E+008, +1.26231262483E+001, +0.00000000000E+000
+2.06279400000E+008, +1.33026643389E+001, +0.00000000000E+000
+2.08279200000E+008, +1.38193922519E+001, +0.00000000000E+000
+2.10279000000E+008, +1.42416717185E+001, +0.00000000000E+000
+2.12278800000E+008, +1.45978418355E+001, +0.00000000000E+000
+2.14278600000E+008, +1.49073997337E+001, +0.00000000000E+000
