"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.18146011794E+001, +0.00000000000E+000
+2.29980000000E+006, -1.20359294646E+001, +0.00000000000E+000
+4.29960000000E+006, -1.20620493342E+001, +0.00000000000E+000
+6.29940000000E+006, -1.20764782954E+001, +0.00000000000E+000
+8.29920000000E+006, -1.20891427264E+001, +0.00000000000E+000
+1.02990000000E+007, -1.20995562534E+001, +0.00000000000E+000
+1.22988000000E+007, -1.21077888804E+001, +0.00000000000E+000
+1.42986000000E+007, -1.21239104637E+001, +0.00000000000E+000
+1.62984000000E+007, -1.21344545352E+001, +0.00000000000E+000
+1.82982000000E+007, -1.21458364621E+001, +0.00000000000E+000
+2.02980000000E+007, -1.21560939773E+001, +0.00000000000E+000
+2.22978000000E+007, -1.21692015989E+001, +0.00000000000E+000
+2.42976000000E+007, -1.21803547388E+001, +0.00000000000E+000
+2.62974000000E+007, -1.21926128493E+001, +0.00000000000E+000
+2.82972000000E+007, -1.22035055582E+001, +0.00000000000E+000
+3.02970000000E+007, -1.22147425600E+001, +0.00000000000E+000
+3.22968000000E+007, -1.22261646719E+001, +0.00000000000E+000
+3.42966000000E+007, -1.22356063844E+001, +0.00000000000E+000
+3.62964000000E+007, -1.22498435677E+001, +0.00000000000E+000
+3.82962000000E+007, -1.22597241270E+001, +0.00000000000E+000
+4.02960000000E+007, -1.22698033826E+001, +0.00000000000E+000
+4.22958000000E+007, -1.22776271169E+001, +0.00000000000E+000
+4.42956000000E+007, -1.22856843620E+001, +0.00000000000E+000
+4.62954000000E+007, -1.22930856879E+001, +0.00000000000E+000
+4.82952000000E+007, -1.23004156598E+001, +0.00000000000E+000
+5.02950000000E+007, -1.23068582454E+001, +0.00000000000E+000
+5.22948000000E+007, -1.23149429929E+001, +0.00000000000E+000
+5.42946000000E+007, -1.23210150125E+001, +0.00000000000E+000
+5.62944000000E+007, -1.23268082864E+001, +0.00000000000E+000
+5.82942000000E+007, -1.23325651164E+001, +0.00000000000E+000
+6.02940000000E+007, -1.23375638397E+001, +0.00000000000E+000
+6.22938000000E+007, -1.23446149450E+001, +0.00000000000E+000
+6.42936000000E+007, -1.23529144861E+001, +0.00000000000E+000
+6.62934000000E+007, -1.23574045743E+001, +0.00000000000E+000
+6.82932000000E+007, -1.23636792962E+001, +0.00000000000E+000
+7.02930000000E+007, -1.23702503846E+001, +0.00000000000E+000
+7.22928000000E+007, -1.23754288830E+001, +0.00000000000E+000
+7.42926000000E+007, -1.23818408249E+001, +0.00000000000E+000
+7.62924000000E+007, -1.23893572109E+001, +0.00000000000E+000
+7.82922000000E+007, -1.23966309658E+001, +0.00000000000E+000
+8.02920000000E+007, -1.24031224649E+001, +0.00000000000E+000
+8.22918000000E+007, -1.24113264620E+001, +0.00000000000E+000
+8.42916000000E+007, -1.24176636085E+001, +0.00000000000E+000
+8.62914000000E+007, -1.24252454609E+001, +0.00000000000E+000
+8.82912000000E+007, -1.24298429564E+001, +0.00000000000E+000
+9.02910000000E+007, -1.24379204685E+001, +0.00000000000E+000
+9.22908000000E+007, -1.24459372337E+001, +0.00000000000E+000
+9.42906000000E+007, -1.24513571619E+001, +0.00000000000E+000
+9.62904000000E+007, -1.24576836387E+001, +0.00000000000E+000
+9.82902000000E+007, -1.24624657599E+001, +0.00000000000E+000
+1.00290000000E+008, -1.24694241576E+001, +0.00000000000E+000
+1.02289800000E+008, -1.24771021314E+001, +0.00000000000E+000
+1.04289600000E+008, -1.24848386126E+001, +0.00000000000E+000
+1.06289400000E+008, -1.24883150978E+001, +0.00000000000E+000
+1.08289200000E+008, -1.24957370721E+001, +0.00000000000E+000
+1.10289000000E+008, -1.25022606214E+001, +0.00000000000E+000
+1.12288800000E+008, -1.25087474978E+001, +0.00000000000E+000
+1.14288600000E+008, -1.25140425718E+001, +0.00000000000E+000
+1.16288400000E+008, -1.25201378081E+001, +0.00000000000E+000
+1.18288200000E+008, -1.25266805294E+001, +0.00000000000E+000
+1.20288000000E+008, -1.25304642295E+001, +0.00000000000E+000
+1.22287800000E+008, -1.25347663902E+001, +0.00000000000E+000
+1.24287600000E+008, -1.25411717868E+001, +0.00000000000E+000
+1.26287400000E+008, -1.25462096688E+001, +0.00000000000E+000
+1.28287200000E+008, -1.25483181773E+001, +0.00000000000E+000
+1.30287000000E+008, -1.25538501062E+001, +0.00000000000E+000
+1.32286800000E+008, -1.25571217655E+001, +0.00000000000E+000
+1.34286600000E+008, -1.25598390876E+001, +0.00000000000E+000
+1.36286400000E+008, -1.25637922468E+001, +0.00000000000E+000
+1.38286200000E+008, -1.25663120685E+001, +0.00000000000E+000
+1.40286000000E+008, -1.25684830631E+001, +0.00000000000E+000
