"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -9.52196691302E+001, +0.00000000000E+000
+2.29980000000E+006, -1.00223094196E+002, +0.00000000000E+000
+4.29960000000E+006, -9.37964258279E+001, +0.00000000000E+000
+6.29940000000E+006, -1.02574941260E+002, +0.00000000000E+000
+8.29920000000E+006, -8.27894023327E+001, +0.00000000000E+000
+1.02990000000E+007, -8.37428343274E+001, +0.00000000000E+000
+1.22988000000E+007, -7.76050841390E+001, +0.00000000000E+000
+1.42986000000E+007, -7.84843882046E+001, +0.00000000000E+000
+1.62984000000E+007, -6.98178387448E+001, +0.00000000000E+000
+1.82982000000E+007, -7.99298815518E+001, +0.00000000000E+000
+2.02980000000E+007, -7.92737391007E+001, +0.00000000000E+000
+2.22978000000E+007, -7.60724019790E+001, +0.00000000000E+000
+2.42976000000E+007, -7.44554524306E+001, +0.00000000000E+000
+2.62974000000E+007, -7.51092118667E+001, +0.00000000000E+000
+2.82972000000E+007, -7.69570737378E+001, +0.00000000000E+000
+3.02970000000E+007, -7.80793723257E+001, +0.00000000000E+000
+3.22968000000E+007, -7.57641422299E+001, +0.00000000000E+000
+3.42966000000E+007, -7.87840450036E+001, +0.00000000000E+000
+3.62964000000E+007, -7.96648543603E+001, +0.00000000000E+000
+3.82962000000E+007, -7.60051072063E+001, +0.00000000000E+000
+4.02960000000E+007, -7.65470844546E+001, +0.00000000000E+000
+4.22958000000E+007, -7.95340407695E+001, +0.00000000000E+000
+4.42956000000E+007, -7.19901352522E+001, +0.00000000000E+000
+4.62954000000E+007, -7.13333671908E+001, +0.00000000000E+000
+4.82952000000E+007, -7.53669068120E+001, +0.00000000000E+000
+5.02950000000E+007, -6.64989302923E+001, +0.00000000000E+000
+5.22948000000E+007, -6.87046169385E+001, +0.00000000000E+000
+5.42946000000E+007, -6.71367072352E+001, +0.00000000000E+000
+5.62944000000E+007, -6.84166525746E+001, +0.00000000000E+000
+5.82942000000E+007, -8.54429090040E+001, +0.00000000000E+000
+6.02940000000E+007, -6.94789029123E+001, +0.00000000000E+000
+6.22938000000E+007, -8.07996667146E+001, +0.00000000000E+000
+6.42936000000E+007, -8.35213205450E+001, +0.00000000000E+000
+6.62934000000E+007, -6.13819767695E+001, +0.00000000000E+000
+6.82932000000E+007, -7.06226570572E+001, +0.00000000000E+000
+7.02930000000E+007, -6.89478976223E+001, +0.00000000000E+000
+7.22928000000E+007, -6.18388039130E+001, +0.00000000000E+000
+7.42926000000E+007, -6.24776983808E+001, +0.00000000000E+000
+7.62924000000E+007, -6.27743803798E+001, +0.00000000000E+000
+7.82922000000E+007, -6.16351585085E+001, +0.00000000000E+000
+8.02920000000E+007, -6.20005823090E+001, +0.00000000000E+000
+8.22918000000E+007, -6.41067125301E+001, +0.00000000000E+000
+8.42916000000E+007, -6.50161756052E+001, +0.00000000000E+000
+8.62914000000E+007, -6.44164801881E+001, +0.00000000000E+000
+8.82912000000E+007, -6.65655836181E+001, +0.00000000000E+000
+9.02910000000E+007, -5.88225286083E+001, +0.00000000000E+000
+9.22908000000E+007, -6.80564586897E+001, +0.00000000000E+000
+9.42906000000E+007, -6.66296073465E+001, +0.00000000000E+000
+9.62904000000E+007, -6.49611638737E+001, +0.00000000000E+000
+9.82902000000E+007, -6.66554176853E+001, +0.00000000000E+000
