"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -9.56536412337E+001, +0.00000000000E+000
+2.29980000000E+006, -9.58642168664E+001, +0.00000000000E+000
+4.29960000000E+006, -9.40234257946E+001, +0.00000000000E+000
+6.29940000000E+006, -8.79096985913E+001, +0.00000000000E+000
+8.29920000000E+006, -8.44472627240E+001, +0.00000000000E+000
+1.02990000000E+007, -7.62320736598E+001, +0.00000000000E+000
+1.22988000000E+007, -7.92114936161E+001, +0.00000000000E+000
+1.42986000000E+007, -7.07933427434E+001, +0.00000000000E+000
+1.62984000000E+007, -6.79152091984E+001, +0.00000000000E+000
+1.82982000000E+007, -7.35947656046E+001, +0.00000000000E+000
+2.02980000000E+007, -7.22511728598E+001, +0.00000000000E+000
+2.22978000000E+007, -8.56710381941E+001, +0.00000000000E+000
+2.42976000000E+007, -7.49398894674E+001, +0.00000000000E+000
+2.62974000000E+007, -9.16887776437E+001, +0.00000000000E+000
+2.82972000000E+007, -7.20744673072E+001, +0.00000000000E+000
+3.02970000000E+007, -7.27140950597E+001, +0.00000000000E+000
+3.22968000000E+007, -7.18076583110E+001, +0.00000000000E+000
+3.42966000000E+007, -6.95055210956E+001, +0.00000000000E+000
+3.62964000000E+007, -6.93038121962E+001, +0.00000000000E+000
+3.82962000000E+007, -7.06481377857E+001, +0.00000000000E+000
+4.02960000000E+007, -7.37912523265E+001, +0.00000000000E+000
+4.22958000000E+007, -7.26262836834E+001, +0.00000000000E+000
+4.42956000000E+007, -5.68660520259E+001, +0.00000000000E+000
+4.62954000000E+007, -6.56344043432E+001, +0.00000000000E+000
+4.82952000000E+007, -7.58484405329E+001, +0.00000000000E+000
+5.02950000000E+007, -6.48662427837E+001, +0.00000000000E+000
+5.22948000000E+007, -6.18101079368E+001, +0.00000000000E+000
+5.42946000000E+007, -7.90061816943E+001, +0.00000000000E+000
+5.62944000000E+007, -6.23121475971E+001, +0.00000000000E+000
+5.82942000000E+007, -6.39898002593E+001, +0.00000000000E+000
+6.02940000000E+007, -7.54577601775E+001, +0.00000000000E+000
+6.22938000000E+007, -6.16021239856E+001, +0.00000000000E+000
+6.42936000000E+007, -5.89280532363E+001, +0.00000000000E+000
+6.62934000000E+007, -6.56656878202E+001, +0.00000000000E+000
+6.82932000000E+007, -5.57298587799E+001, +0.00000000000E+000
+7.02930000000E+007, -5.84206988953E+001, +0.00000000000E+000
+7.22928000000E+007, -5.10623044109E+001, +0.00000000000E+000
+7.42926000000E+007, -5.95327637568E+001, +0.00000000000E+000
+7.62924000000E+007, -5.95922505629E+001, +0.00000000000E+000
+7.82922000000E+007, -5.28367696249E+001, +0.00000000000E+000
+8.02920000000E+007, -5.51393488039E+001, +0.00000000000E+000
+8.22918000000E+007, -6.01062356957E+001, +0.00000000000E+000
+8.42916000000E+007, -5.32318842852E+001, +0.00000000000E+000
+8.62914000000E+007, -5.41584976037E+001, +0.00000000000E+000
+8.82912000000E+007, -5.92975496010E+001, +0.00000000000E+000
+9.02910000000E+007, -5.85242937436E+001, +0.00000000000E+000
+9.22908000000E+007, -6.08451964278E+001, +0.00000000000E+000
+9.42906000000E+007, -6.54030600550E+001, +0.00000000000E+000
+9.62904000000E+007, -5.68595355463E+001, +0.00000000000E+000
+9.82902000000E+007, -7.32541853627E+001, +0.00000000000E+000
