"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.02762249867E+002, +0.00000000000E+000
+2.29980000000E+006, -1.05845772489E+002, +0.00000000000E+000
+4.29960000000E+006, -1.04603244570E+002, +0.00000000000E+000
+6.29940000000E+006, -9.25182592376E+001, +0.00000000000E+000
+8.29920000000E+006, -8.69194549414E+001, +0.00000000000E+000
+1.02990000000E+007, -7.79028770734E+001, +0.00000000000E+000
+1.22988000000E+007, -7.61166125123E+001, +0.00000000000E+000
+1.42986000000E+007, -7.51023310182E+001, +0.00000000000E+000
+1.62984000000E+007, -8.01231836330E+001, +0.00000000000E+000
+1.82982000000E+007, -7.29628686845E+001, +0.00000000000E+000
+2.02980000000E+007, -7.48837413480E+001, +0.00000000000E+000
+2.22978000000E+007, -7.43332226788E+001, +0.00000000000E+000
+2.42976000000E+007, -7.29205492335E+001, +0.00000000000E+000
+2.62974000000E+007, -7.53525589964E+001, +0.00000000000E+000
+2.82972000000E+007, -7.15128485345E+001, +0.00000000000E+000
+3.02970000000E+007, -8.37054366969E+001, +0.00000000000E+000
+3.22968000000E+007, -7.90189070048E+001, +0.00000000000E+000
+3.42966000000E+007, -7.67780011645E+001, +0.00000000000E+000
+3.62964000000E+007, -7.62197098509E+001, +0.00000000000E+000
+3.82962000000E+007, -7.57390275112E+001, +0.00000000000E+000
+4.02960000000E+007, -7.53677516774E+001, +0.00000000000E+000
+4.22958000000E+007, -7.09517408652E+001, +0.00000000000E+000
+4.42956000000E+007, -7.02096044479E+001, +0.00000000000E+000
+4.62954000000E+007, -6.43076601068E+001, +0.00000000000E+000
+4.82952000000E+007, -7.14406316988E+001, +0.00000000000E+000
+5.02950000000E+007, -7.88899850777E+001, +0.00000000000E+000
+5.22948000000E+007, -7.70411906375E+001, +0.00000000000E+000
+5.42946000000E+007, -6.81393950353E+001, +0.00000000000E+000
+5.62944000000E+007, -7.30996467755E+001, +0.00000000000E+000
+5.82942000000E+007, -7.53025527263E+001, +0.00000000000E+000
+6.02940000000E+007, -7.86953415687E+001, +0.00000000000E+000
+6.22938000000E+007, -6.99110089350E+001, +0.00000000000E+000
+6.42936000000E+007, -7.00756051368E+001, +0.00000000000E+000
+6.62934000000E+007, -6.15606949223E+001, +0.00000000000E+000
+6.82932000000E+007, -6.45004632234E+001, +0.00000000000E+000
+7.02930000000E+007, -6.08464148457E+001, +0.00000000000E+000
+7.22928000000E+007, -6.00172360944E+001, +0.00000000000E+000
+7.42926000000E+007, -5.71356328365E+001, +0.00000000000E+000
+7.62924000000E+007, -6.43390247568E+001, +0.00000000000E+000
+7.82922000000E+007, -5.70455577090E+001, +0.00000000000E+000
+8.02920000000E+007, -6.34045430224E+001, +0.00000000000E+000
+8.22918000000E+007, -6.40072020022E+001, +0.00000000000E+000
+8.42916000000E+007, -6.26693455670E+001, +0.00000000000E+000
+8.62914000000E+007, -5.64520707029E+001, +0.00000000000E+000
+8.82912000000E+007, -7.24007361933E+001, +0.00000000000E+000
+9.02910000000E+007, -6.29945105282E+001, +0.00000000000E+000
+9.22908000000E+007, -7.49689545918E+001, +0.00000000000E+000
+9.42906000000E+007, -6.83465553178E+001, +0.00000000000E+000
+9.62904000000E+007, -6.58573902328E+001, +0.00000000000E+000
+9.82902000000E+007, -6.50858563643E+001, +0.00000000000E+000
+1.00290000000E+008, -6.02398088529E+001, +0.00000000000E+000
+1.02289800000E+008, -6.95784110451E+001, +0.00000000000E+000
+1.04289600000E+008, -6.58233234079E+001, +0.00000000000E+000
+1.06289400000E+008, -6.87079588219E+001, +0.00000000000E+000
+1.08289200000E+008, -5.87115248611E+001, +0.00000000000E+000
+1.10289000000E+008, -6.63384722258E+001, +0.00000000000E+000
+1.12288800000E+008, -6.04203662681E+001, +0.00000000000E+000
