"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -8.98555324674E+001, +0.00000000000E+000
+2.29980000000E+006, -9.87587621620E+001, +0.00000000000E+000
+4.29960000000E+006, -1.07190988812E+002, +0.00000000000E+000
+6.29940000000E+006, -1.02989187096E+002, +0.00000000000E+000
+8.29920000000E+006, -8.92248656690E+001, +0.00000000000E+000
+1.02990000000E+007, -8.46947186585E+001, +0.00000000000E+000
+1.22988000000E+007, -8.19811378200E+001, +0.00000000000E+000
+1.42986000000E+007, -7.69605181406E+001, +0.00000000000E+000
+1.62984000000E+007, -7.61805618830E+001, +0.00000000000E+000
+1.82982000000E+007, -8.65799374733E+001, +0.00000000000E+000
+2.02980000000E+007, -7.36826129493E+001, +0.00000000000E+000
+2.22978000000E+007, -8.77437619766E+001, +0.00000000000E+000
+2.42976000000E+007, -7.17194183948E+001, +0.00000000000E+000
+2.62974000000E+007, -7.80888015411E+001, +0.00000000000E+000
+2.82972000000E+007, -7.39787229471E+001, +0.00000000000E+000
+3.02970000000E+007, -7.67299054782E+001, +0.00000000000E+000
+3.22968000000E+007, -7.33987089528E+001, +0.00000000000E+000
+3.42966000000E+007, -7.36047836819E+001, +0.00000000000E+000
+3.62964000000E+007, -7.81956883296E+001, +0.00000000000E+000
+3.82962000000E+007, -7.43883494665E+001, +0.00000000000E+000
+4.02960000000E+007, -7.69659696997E+001, +0.00000000000E+000
+4.22958000000E+007, -7.29745508713E+001, +0.00000000000E+000
+4.42956000000E+007, -8.00842865415E+001, +0.00000000000E+000
+4.62954000000E+007, -6.86136643764E+001, +0.00000000000E+000
+4.82952000000E+007, -8.13680970384E+001, +0.00000000000E+000
+5.02950000000E+007, -7.78385252443E+001, +0.00000000000E+000
+5.22948000000E+007, -7.43058110459E+001, +0.00000000000E+000
+5.42946000000E+007, -6.51666520826E+001, +0.00000000000E+000
+5.62944000000E+007, -6.93170626973E+001, +0.00000000000E+000
+5.82942000000E+007, -6.96593249673E+001, +0.00000000000E+000
+6.02940000000E+007, -7.13856363595E+001, +0.00000000000E+000
+6.22938000000E+007, -6.47797542094E+001, +0.00000000000E+000
+6.42936000000E+007, -7.53935677191E+001, +0.00000000000E+000
+6.62934000000E+007, -6.50919775292E+001, +0.00000000000E+000
+6.82932000000E+007, -7.19012283462E+001, +0.00000000000E+000
+7.02930000000E+007, -6.95785961885E+001, +0.00000000000E+000
+7.22928000000E+007, -7.71146413624E+001, +0.00000000000E+000
+7.42926000000E+007, -5.83344788644E+001, +0.00000000000E+000
+7.62924000000E+007, -6.01406645992E+001, +0.00000000000E+000
+7.82922000000E+007, -6.82776038598E+001, +0.00000000000E+000
+8.02920000000E+007, -6.64524915899E+001, +0.00000000000E+000
+8.22918000000E+007, -6.10411805786E+001, +0.00000000000E+000
+8.42916000000E+007, -7.19035543875E+001, +0.00000000000E+000
+8.62914000000E+007, -6.47828930860E+001, +0.00000000000E+000
+8.82912000000E+007, -5.88639261291E+001, +0.00000000000E+000
+9.02910000000E+007, -6.55073661267E+001, +0.00000000000E+000
+9.22908000000E+007, -6.69221755756E+001, +0.00000000000E+000
+9.42906000000E+007, -6.04203350994E+001, +0.00000000000E+000
+9.62904000000E+007, -5.52805779154E+001, +0.00000000000E+000
+9.82902000000E+007, -5.87898815847E+001, +0.00000000000E+000
+1.00290000000E+008, -6.96427189750E+001, +0.00000000000E+000
+1.02289800000E+008, -5.91827328702E+001, +0.00000000000E+000
+1.04289600000E+008, -5.89239698155E+001, +0.00000000000E+000
+1.06289400000E+008, -6.02287996370E+001, +0.00000000000E+000
+1.08289200000E+008, -6.16844784651E+001, +0.00000000000E+000
+1.10289000000E+008, -6.73764897872E+001, +0.00000000000E+000
+1.12288800000E+008, -6.28719872960E+001, +0.00000000000E+000
+1.14288600000E+008, -5.91681755880E+001, +0.00000000000E+000
+1.16288400000E+008, -6.74707101425E+001, +0.00000000000E+000
+1.18288200000E+008, -6.29500558052E+001, +0.00000000000E+000
+1.20288000000E+008, -6.23731146585E+001, +0.00000000000E+000
+1.22287800000E+008, -7.08290264100E+001, +0.00000000000E+000
+1.24287600000E+008, -6.74453441314E+001, +0.00000000000E+000
+1.26287400000E+008, -7.30839662754E+001, +0.00000000000E+000
+1.28287200000E+008, -6.03652366038E+001, +0.00000000000E+000
+1.30287000000E+008, -6.64434688285E+001, +0.00000000000E+000
+1.32286800000E+008, -6.84189871581E+001, +0.00000000000E+000
+1.34286600000E+008, -6.78092030418E+001, +0.00000000000E+000
+1.36286400000E+008, -6.15963513268E+001, +0.00000000000E+000
+1.38286200000E+008, -6.41873545715E+001, +0.00000000000E+000
+1.40286000000E+008, -6.34063827187E+001, +0.00000000000E+000
+1.42285800000E+008, -8.39051703974E+001, +0.00000000000E+000
+1.44285600000E+008, -6.35004727527E+001, +0.00000000000E+000
+1.46285400000E+008, -8.61328411421E+001, +0.00000000000E+000
+1.48285200000E+008, -5.60247832321E+001, +0.00000000000E+000
+1.50285000000E+008, -5.67507189018E+001, +0.00000000000E+000
+1.52284800000E+008, -5.61776196432E+001, +0.00000000000E+000
+1.54284600000E+008, -5.84280960117E+001, +0.00000000000E+000
+1.56284400000E+008, -5.15272709296E+001, +0.00000000000E+000
+1.58284200000E+008, -5.24953827072E+001, +0.00000000000E+000
+1.60284000000E+008, -5.22567380003E+001, +0.00000000000E+000
+1.62283800000E+008, -4.91755552812E+001, +0.00000000000E+000
+1.64283600000E+008, -5.01758857218E+001, +0.00000000000E+000
+1.66283400000E+008, -4.62544739453E+001, +0.00000000000E+000
+1.68283200000E+008, -4.47871592306E+001, +0.00000000000E+000
+1.70283000000E+008, -4.19750010787E+001, +0.00000000000E+000
+1.72282800000E+008, -3.99186777679E+001, +0.00000000000E+000
+1.74282600000E+008, -3.85345217889E+001, +0.00000000000E+000
+1.76282400000E+008, -3.65537378883E+001, +0.00000000000E+000
+1.78282200000E+008, -3.49243727789E+001, +0.00000000000E+000
+1.80282000000E+008, -3.25430422169E+001, +0.00000000000E+000
+1.82281800000E+008, -2.99258246905E+001, +0.00000000000E+000
+1.84281600000E+008, -2.76478204264E+001, +0.00000000000E+000
+1.86281400000E+008, -2.52733775280E+001, +0.00000000000E+000
+1.88281200000E+008, -2.27132166545E+001, +0.00000000000E+000
+1.90281000000E+008, -2.01976363578E+001, +0.00000000000E+000
+1.92280800000E+008, -1.77853512131E+001, +0.00000000000E+000
+1.94280600000E+008, -1.55738808863E+001, +0.00000000000E+000
+1.96280400000E+008, -1.33459754671E+001, +0.00000000000E+000
+1.98280200000E+008, -1.16159629855E+001, +0.00000000000E+000
+2.00280000000E+008, -1.03496106702E+001, +0.00000000000E+000
+2.02279800000E+008, -9.26577666318E+000, +0.00000000000E+000
+2.04279600000E+008, -8.22013538742E+000, +0.00000000000E+000
+2.06279400000E+008, -7.32724722398E+000, +0.00000000000E+000
+2.08279200000E+008, -6.65590411297E+000, +0.00000000000E+000
+2.10279000000E+008, -6.16052007940E+000, +0.00000000000E+000
+2.12278800000E+008, -5.53781118616E+000, +0.00000000000E+000
+2.14278600000E+008, -4.86952024939E+000, +0.00000000000E+000
+2.16278400000E+008, -4.66977691593E+000, +0.00000000000E+000
