"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.50850868615E+002, +0.00000000000E+000
+2.29980000000E+006, +6.15767689491E+001, +0.00000000000E+000
+4.29960000000E+006, -4.33720241212E+001, +0.00000000000E+000
+6.29940000000E+006, -3.57568774802E+001, +0.00000000000E+000
+8.29920000000E+006, +1.72269764624E+002, +0.00000000000E+000
+1.02990000000E+007, -1.10076297667E+002, +0.00000000000E+000
+1.22988000000E+007, -1.43012454834E+002, +0.00000000000E+000
+1.42986000000E+007, -2.38187599943E+001, +0.00000000000E+000
+1.62984000000E+007, -5.49021877861E+001, +0.00000000000E+000
+1.82982000000E+007, +1.17882804255E+002, +0.00000000000E+000
+2.02980000000E+007, +5.18444643850E+000, +0.00000000000E+000
+2.22978000000E+007, -1.40349597878E+002, +0.00000000000E+000
+2.42976000000E+007, +1.38184786786E+001, +0.00000000000E+000
+2.62974000000E+007, -1.07123394726E+002, +0.00000000000E+000
+2.82972000000E+007, +1.34123826305E+002, +0.00000000000E+000
+3.02970000000E+007, +1.73216131377E+002, +0.00000000000E+000
+3.22968000000E+007, +6.15450425196E+001, +0.00000000000E+000
+3.42966000000E+007, +6.60907861597E+001, +0.00000000000E+000
+3.62964000000E+007, +7.48955444540E+001, +0.00000000000E+000
+3.82962000000E+007, +2.73265494580E+001, +0.00000000000E+000
+4.02960000000E+007, -1.98503005797E+001, +0.00000000000E+000
+4.22958000000E+007, +5.99434595401E+001, +0.00000000000E+000
+4.42956000000E+007, +4.03919095704E+001, +0.00000000000E+000
+4.62954000000E+007, +9.92408265986E+001, +0.00000000000E+000
+4.82952000000E+007, -6.18744086662E+000, +0.00000000000E+000
+5.02950000000E+007, -6.85306393220E+001, +0.00000000000E+000
+5.22948000000E+007, +1.34538043407E+002, +0.00000000000E+000
+5.42946000000E+007, +2.79347349281E+001, +0.00000000000E+000
+5.62944000000E+007, -1.50197421242E+002, +0.00000000000E+000
+5.82942000000E+007, -8.55275681413E+001, +0.00000000000E+000
+6.02940000000E+007, +3.96116785754E+001, +0.00000000000E+000
+6.22938000000E+007, +8.10539922071E+001, +0.00000000000E+000
+6.42936000000E+007, +1.30594572764E+002, +0.00000000000E+000
+6.62934000000E+007, -5.92400871801E+001, +0.00000000000E+000
+6.82932000000E+007, +1.40712090151E+002, +0.00000000000E+000
+7.02930000000E+007, +1.35959673962E+002, +0.00000000000E+000
+7.22928000000E+007, -1.01817331720E+001, +0.00000000000E+000
+7.42926000000E+007, -8.82969656311E+001, +0.00000000000E+000
+7.62924000000E+007, -1.05111203139E+002, +0.00000000000E+000
+7.82922000000E+007, +1.33437374914E+002, +0.00000000000E+000
+8.02920000000E+007, -4.08087236839E+001, +0.00000000000E+000
+8.22918000000E+007, -6.59196930365E+001, +0.00000000000E+000
+8.42916000000E+007, +1.26902402299E+001, +0.00000000000E+000
+8.62914000000E+007, +1.53000856244E+002, +0.00000000000E+000
+8.82912000000E+007, +9.88941526711E+001, +0.00000000000E+000
+9.02910000000E+007, -5.60787669951E+001, +0.00000000000E+000
+9.22908000000E+007, -1.78981977453E+002, +0.00000000000E+000
+9.42906000000E+007, -1.41338099395E+002, +0.00000000000E+000
+9.62904000000E+007, -1.46388150442E+002, +0.00000000000E+000
+9.82902000000E+007, +1.22186045346E+002, +0.00000000000E+000
+1.00290000000E+008, -5.94388955949E+001, +0.00000000000E+000
+1.02289800000E+008, +7.21017721531E+001, +0.00000000000E+000
+1.04289600000E+008, +3.69010402243E+001, +0.00000000000E+000
+1.06289400000E+008, -4.24041767338E+001, +0.00000000000E+000
+1.08289200000E+008, +1.39066663181E+002, +0.00000000000E+000
+1.10289000000E+008, +8.11954532851E+001, +0.00000000000E+000
+1.12288800000E+008, +3.36498102998E+001, +0.00000000000E+000
+1.14288600000E+008, +1.68124358989E+002, +0.00000000000E+000
